Name,Primary,Secondary,Rating,Team,MPG
Dorian Finney-Smith,SF,PF,76,Mavericks,29.7
Doug McDermott,SF,PF,77,Pacers,20.0
Dragan Bender,C,PF,69,Warriors,17.8
Draymond Green,PF,C,79,Warriors,28.4
Drew Eubanks,C,PF,66,Spurs,9.3
Duncan Robinson,SG,SF,77,Heat,30.0
Dwayne Bacon,SF,SG,70,Hornets,17.6
Dwight Howard,C,,81,Lakers,19.2
Dwight Powell,C,PF,79,Mavericks,26.5
Dylan Windler,SF,SG,71,Cavaliers,0
Dzanan Musa,SF,SG,71,Nets,11.5
E'Twaun Moore,SG,SF,74,Pelicans,18.8
Ed Davis,C,PF,73,Jazz,10.7
Edmond Sumner,SG,PG,71,Pacers,13.8
Elfrid Payton,PG,,78,Knicks,27.7
Elie Okobo,PG,SG,72,Suns,13.1
Emmanuel Mudiay,PG,SG,76,Jazz,15.7
Enes Kanter,C,,80,Celtics,17.5
Eric Bledsoe,PG,,83,Bucks,27.2
Eric Gordon,SF,SG,79,Rockets,28.6
Eric Paschall,PF,SF,79,Warriors,27.6
Ersan Ilyasova,PF,C,76,Bucks,16.0
Evan Fournier,SG,SF,81,Magic,31.7
Evan Turner,SF,PG,73,Timberwolves,13.2
Frank Jackson,PG,SG,72,Pelicans,12.9
Frank Kaminsky,C,,77,Suns,22.4
Frank Mason,PG,,71,Bucks,8.8
Frank Ntilikina,PG,SG,73,Knicks,20.8
Fred VanVleet,PG,SG,82,Raptors,35.8
Furkan Korkmaz,SG,,76,76ers,21.8
Gabe Vincent,SG,PG,68,Heat,6.9
Garrett Temple,SG,SF,71,Nets,28.1
Garrison Mathews,SG,,72,Wizards,12.6
Gary Clark,PF,,69,Magic,12.1
Gary Harris,SG,SF,76,Nuggets,31.8
Gary Payton II,PG,SG,73,Wizards,14.9
Gary Trent Jr.,SG,,76,Trail Blazers,20.0
George Hill,PG,SG,79,Bucks,21.2
Georges Niang,PF,SF,75,Jazz,13.3
Giannis Antetokounmpo,PF,C,97,Bucks,30.9
Glenn Robinson III,SF,SG,75,76ers,29.1
Goga Bitadze,C,,74,Pacers,8.4
Goran Dragic,PG,,81,Heat,28.4
Gordon Hayward,SF,PF,82,Celtics,33.4
Gorgui Dieng,C,,76,Grizzlies,17.5
Grant Williams,PF,C,71,Celtics,15.6
Grayson Allen,SG,,72,Grizzlies,16.6
Hamidou Diallo,SG,SF,70,Thunder,18.4
Harrison Barnes,SF,PF,78,Kings,34.9
Harry Giles III,C,PF,77,Kings,15.2
Hassan Whiteside,C,,87,Trail Blazers,31.3
Ian Mahinmi,C,,76,Wizards,21.3
Ignas Brazdeikis,SF,PF,69,Knicks,5.9
Isaac Bonga,SF,PF,72,Wizards,17.7
Isaiah Roby,PF,SF,70,Thunder,3.8
Ish Smith,PG,,77,Wizards,26.2
Ivica Zubac,C,,78,Clippers,18.1
J.J. Barea,PG,SG,77,Mavericks,15.0
JJ Redick,SG,,80,Pelicans,26.4
Ja Morant,PG,,84,Grizzlies,30.0
Jabari Parker,PF,,80,Kings,25.8
Jacob Evans,SG,PG,71,Timberwolves,14.4
Jae Crowder,PF,SF,76,Heat,29.2
Jahlil Okafor,C,,77,Pelicans,15.1
JaKarr Sampson,PF,SF,72,Pacers,13.1
Jake Layman,SF,PF,73,Timberwolves,22.0
Jakob Poeltl,C,,78,Spurs,16.6
Jalen Brunson,PG,,79,Mavericks,17.9
Jalen Lecque,SG,PG,68,Suns,6.6
Jalen McDaniels,PF,,70,Hornets,18.3
Jamal Murray,PG,SG,84,Nuggets,32.8
James Ennis III,SF,SG,76,Magic,17.3
James Harden,SG,PG,97,Rockets,36.7
James Johnson,PF,SF,76,Timberwolves,19.4
JaMychal Green,PF,C,73,Clippers,20.5
Jared Dudley,PF,,72,Lakers,7.8
Jaren Jackson Jr.,PF,C,82,Grizzlies,28.0
Jarred Vanderbilt,PF,SF,70,Timberwolves,4.2
Jarrell Brantley,PF,,67,Jazz,2.7
Jarrett Allen,C,,81,Nets,25.7
Jarrett Culver,SG,PG,74,Timberwolves,23.9
JaVale McGee,C,,80,Lakers,16.8
Javonte Green,SF,SG,73,Celtics,9.4
Jaxson Hayes,C,,78,Pelicans,17.0
Jaylen Brown,SG,SF,85,Celtics,34.0
Jaylen Hoard,SF,SG,68,Trail Blazers,7.9
Jaylen Nowell,SG,PG,70,Timberwolves,10.1
Jayson Tatum,PF,SF,88,Celtics,34.6
Jeff Green,PF,C,74,Rockets,18.9
Jeff Teague,PG,,78,Hawks,24.8
Jerami Grant,PF,C,77,Nuggets,26.2
Jeremiah Martin,PG,SG,67,Nets,5.3
Jeremy Lamb,SG,SF,79,Pacers,28.1
Jerome Robinson,SG,SF,70,Wizards,13.6
Jevon Carter,PG,SG,72,Suns,15.1
Jimmy Butler,SF,SG,86,Heat,34.3
Joakim Noah,C,,74,Clippers,0
Joe Chealey,PG,,68,Hornets,8.4
Joe Harris,SF,SG,76,Nets,30.9
Joe Ingles,SF,PF,77,Jazz,29.9
Joel Embiid,C,,91,76ers,30.2
John Collins,PF,C,86,Hawks,33.2
John Henson,C,,76,Pistons,15.0
John Konchar,SG,SF,72,Grizzlies,11.1
John Wall,PG,,86,Wizards,0
Johnathan Motley,C,PF,70,Clippers,3.2
Johnathan Williams,PF,C,68,Wizards,12.3
Jonas Valanciunas,C,,83,Grizzlies,26.3
Jonathan Isaac,SF,PF,82,Magic,29.7
Jontay Porter,PF,C,69,Grizzlies,0
Jordan Bone,PG,,69,Pistons,5.3
Jordan Clarkson,SG,SF,80,Jazz,24.2
Jordan McLaughlin,PG,SG,74,Timberwolves,19.7
Jordan McRae,SG,SF,76,Pistons,21.2
Jordan Poole,SG,PG,72,Warriors,22.3
Josh Gray,PG,,67,Pelicans,11.4
Josh Jackson,SF,PF,73,Grizzlies,19.8
Josh Okogie,SF,SG,75,Timberwolves,25.0
